Scan Name,Updated,Type,Module,Source,F/P,Data
example-scan,2025-05-12 10:47:21,DOMAIN_WHOIS,sfp_whois,example.com,0,"   Domain Name: EXAMPLE.COM
   Registry Domain ID: 2336799_DOMAIN_COM-VRSN
   Registrar WHOIS Server: whois.iana.org
   Registrar URL: http://res-dom.iana.org
   Updated Date: 2024-08-14T07:01:34Z
   Creation Date: 1995-08-14T04:00:00Z
   Registry Expiry Date: 2025-08-13T04:00:00Z
   Registrar: RESERVED-Internet Assigned Numbers Authority
   Registrar IANA ID: 376
   Registrar Abuse Contact Email:
   Registrar Abuse Contact Phone:
   Domain Status: clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited
   Domain Status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited
   Domain Status: clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited
   Name Server: A.IANA-SERVERS.NET
   Name Server: B.IANA-SERVERS.NET
   DNSSEC: signedDelegation
   DNSSEC DS Data: 370 13 2 BE74359954660069D5C63D200C39F5603827D7DD02B56F120EE9F3A86764247C
   URL of the ICANN Whois Inaccuracy Complaint Form: https://www.icann.org/wicf/
>>> Last update of whois database: 2"
example-scan,2025-05-12 10:50:53,DESCRIPTION_CATEGORY,sfp_duckduckgo,www.example.com,0,.example &nbsp;– Top-level domain name reserved for documentation purposes.
example-scan,2025-05-12 10:45:53,DESCRIPTION_CATEGORY,sfp_duckduckgo,example.com,0,.example &nbsp;– Top-level domain name reserved for documentation purposes.
example-scan,2025-05-12 10:50:53,DESCRIPTION_CATEGORY,sfp_duckduckgo,www.example.com,0,.local &nbsp;– Pseudo-TLD with no meaning in the DNS for use with local zeroconf networking only.
example-scan,2025-05-12 10:45:53,DESCRIPTION_CATEGORY,sfp_duckduckgo,example.com,0,.local &nbsp;– Pseudo-TLD with no meaning in the DNS for use with local zeroconf networking only.
example-scan,2025-05-12 10:45:48,INTERNET_NAME_UNRESOLVED,sfp_grep_app,example.com,0,1.example.com
example-scan,2025-05-12 10:51:37,PHYSICAL_ADDRESS,sfp_bgpview,20940,0,"145 Broadway, 02142, Cambridge, MA, UNITED STATES"
example-scan,2025-05-12 10:45:48,INTERNET_NAME_UNRESOLVED,sfp_grep_app,example.com,0,2.example.com
example-scan,2025-05-12 10:48:40,BGP_AS_MEMBER,sfp_urlscan,www.example.com,0,20940
example-scan,2025-05-12 10:47:24,BGP_AS_MEMBER,sfp_urlscan,example.com,0,20940
example-scan,2025-05-12 10:54:27,PHYSICAL_COORDINATES,sfp_openstreetmap,"145 Broadway, 02142, Cambridge, MA, UNITED STATES",0,"42.3648825,-71.0889338"
example-scan,2025-05-12 10:54:27,PHYSICAL_COORDINATES,sfp_openstreetmap,"145 Broadway, 02142, Cambridge, MA, UNITED STATES",0,"42.3649728,-71.0887559"
example-scan,2025-05-12 10:54:27,PHYSICAL_COORDINATES,sfp_openstreetmap,"145 Broadway, 02142, Cambridge, MA, UNITED STATES",0,"42.3656822,-71.0915968"
example-scan,2025-05-12 10:48:54,RAW_RIR_DATA,sfp_stackoverflow,example.com,0,"https://stackoverflow.com/questions/35565278
{'tags': ['google-chrome', 'ssl', 'localhost', 'wamp', 'self-signed'], 'question_score': 89, 'is_accepted': False, 'has_accepted_answer': True, 'answer_count': 3, 'is_answered': True, 'question_id': 35565278, 'item_type': 'question', 'score': 89, 'last_activity_date': 1747017446, 'creation_date': 1456180402, 'body': 'I setup ssl on localhost (wamp), I made the ssl crt with GnuWIn32.\n\nWhen I try to login with fb in Chrome I get the following message:\n\nURL:\n\n\n\nError:\n\n\n  Your connection is not private.\n      Attackers might be trying to steal your information from localhost (for example, passwords, messages, or credit cards). NET::ERR_CERT_INVALID.\n      localhost normally uses encryption to protect your information. When Chrome tried to connect to localhost this time, the website sent back unusual and incorrect credentials. This may happen when an attacker is trying to pretend to be localhost, or a Wi-Fi sign-in screen has interrupted the"
example-scan,2025-05-12 10:52:14,RAW_RIR_DATA,sfp_stackoverflow,example.com,0,"https://stackoverflow.com/questions/35565278
{'tags': ['google-chrome', 'ssl', 'localhost', 'wamp', 'self-signed'], 'question_score': 89, 'is_accepted': False, 'has_accepted_answer': True, 'answer_count': 3, 'is_answered': True, 'question_id': 35565278, 'item_type': 'question', 'score': 89, 'last_activity_date': 1747017446, 'creation_date': 1456180402, 'body': 'I setup ssl on localhost (wamp), I made the ssl crt with GnuWIn32.\n\nWhen I try to login with fb in Chrome I get the following message:\n\nURL:\n\n\n\nError:\n\n\n  Your connection is not private.\n      Attackers might be trying to steal your information from localhost (for example, passwords, messages, or credit cards). NET::ERR_CERT_INVALID.\n      localhost normally uses encryption to protect your information. When Chrome tried to connect to localhost this time, the website sent back unusual and incorrect credentials. This may happen when an attacker is trying to pretend to be localhost, or a Wi-Fi sign-in screen has interrupted the"
example-scan,2025-05-12 10:54:41,RAW_RIR_DATA,sfp_stackoverflow,example.com,0,"https://stackoverflow.com/questions/35565278
{'tags': ['google-chrome', 'ssl', 'localhost', 'wamp', 'self-signed'], 'question_score': 89, 'is_accepted': False, 'has_accepted_answer': True, 'answer_count': 3, 'is_answered': True, 'question_id': 35565278, 'item_type': 'question', 'score': 89, 'last_activity_date': 1747017446, 'creation_date': 1456180402, 'body': 'I setup ssl on localhost (wamp), I made the ssl crt with GnuWIn32.\n\nWhen I try to login with fb in Chrome I get the following message:\n\nURL:\n\n\n\nError:\n\n\n  Your connection is not private.\n      Attackers might be trying to steal your information from localhost (for example, passwords, messages, or credit cards). NET::ERR_CERT_INVALID.\n      localhost normally uses encryption to protect your information. When Chrome tried to connect to localhost this time, the website sent back unusual and incorrect credentials. This may happen when an attacker is trying to pretend to be localhost, or a Wi-Fi sign-in screen has interrupted the"
